IP地址,端口,端口,TLS,数据中心,地区,城市,延迟(ms),速度(MB/s)
138.2.231.22,33333,33333,TRUE,SJC,US,San Jose,219,53.04
138.2.231.22,34484,34484,TRUE,SJC,US,San Jose,213,48.3
129.159.39.1,34237,34237,TRUE,SJC,US,San Jose,118,46.03
129.146.83.33,8443,8443,TRUE,LAX,US,Los Angeles,860,36.55
144.24.47.59,28443,28443,TRUE,LAX,US,Los Angeles,367,35.54
152.67.234.175,44333,44333,TRUE,SJC,US,San Jose,160,30.86
129.146.71.213,10102,10102,TRUE,LAX,US,Los Angeles,669,29.92
165.1.68.91,9443,9443,TRUE,SJC,US,San Jose,203,25.48
129.159.33.161,44881,44881,TRUE,SJC,US,San Jose,177,22.82
164.152.111.148,34237,34237,TRUE,ORD,US,Chicago,1135,22.03
150.136.241.40,8443,8443,TRUE,IAD,US,Ashburn,656,20.28
138.2.237.178,58449,58449,TRUE,SJC,US,San Jose,153,19.22
129.153.132.114,46000,46000,TRUE,IAD,US,Ashburn,1142,18.73
146.235.220.55,19188,19188,TRUE,SJC,US,San Jose,198,18.41
158.180.79.252,10449,10449,TRUE,ICN,KR,Seoul,1112,17.64
47.245.29.64,8443,8443,TRUE,NRT,JP,Tokyo,1068,17.03
47.91.14.47,8443,8443,TRUE,NRT,JP,Tokyo,1048,14.88
47.74.27.94,8443,8443,TRUE,NRT,JP,Tokyo,1054,14.87
47.245.30.208,8443,8443,TRUE,NRT,JP,Tokyo,1043,14.85
47.74.42.17,8443,8443,TRUE,NRT,JP,Tokyo,1045,14.85
47.245.56.121,8443,8443,TRUE,NRT,JP,Tokyo,1055,14.78
47.245.4.219,8443,8443,TRUE,NRT,JP,Tokyo,1075,14.61
47.74.40.13,8443,8443,TRUE,NRT,JP,Tokyo,1045,14.54
47.74.41.87,8443,8443,TRUE,NRT,JP,Tokyo,1049,14.53
47.245.54.58,8443,8443,TRUE,NRT,JP,Tokyo,1056,14.49
47.245.15.39,8443,8443,TRUE,NRT,JP,Tokyo,1044,14.46
47.245.37.98,8443,8443,TRUE,NRT,JP,Tokyo,1038,14.4
47.74.39.194,8443,8443,TRUE,NRT,JP,Tokyo,1059,14.35
47.245.31.0,8443,8443,TRUE,NRT,JP,Tokyo,1048,14.22
47.74.54.145,8443,8443,TRUE,NRT,JP,Tokyo,1000,14.21
47.74.9.174,8443,8443,TRUE,NRT,JP,Tokyo,1036,14.1
47.245.37.89,8443,8443,TRUE,NRT,JP,Tokyo,1045,14.07
47.245.59.243,8443,8443,TRUE,NRT,JP,Tokyo,1054,14.05
47.245.40.161,8443,8443,TRUE,NRT,JP,Tokyo,1058,14
47.74.13.239,8443,8443,TRUE,NRT,JP,Tokyo,1043,13.94
47.245.41.84,8443,8443,TRUE,NRT,JP,Tokyo,1002,13.9
47.91.18.207,8443,8443,TRUE,NRT,JP,Tokyo,1057,13.85
47.245.59.244,8443,8443,TRUE,NRT,JP,Tokyo,1048,13.82
47.245.54.98,8443,8443,TRUE,NRT,JP,Tokyo,1064,13.79
47.91.17.102,8443,8443,TRUE,NRT,JP,Tokyo,1079,13.77
47.91.3.179,8443,8443,TRUE,NRT,JP,Tokyo,1079,13.77
